種別,文言,ACFに入力するJSON
とくせい,デッキ内の{$character_target}ATK{$val}%UP,"{""trait_type"" : ""status_up"", ""status_up"" : ""atk"", ""target_field_group"" : $character_target, ""trait_rate"" : ""$val"", ""rate_type"" : ""percentage""}"
とくせい,デッキ内の{$character_target}のHP{$val}%UP,"{""trait_type"" : ""status_up"", ""status_up"" : ""hp"", ""target_field_group"" : $character_target, ""trait_rate"" : ""$val"", ""rate_type"" : ""percentage"":}"
とくせい,デッキ内の{$character_target}HP{$val}%UP,"{""trait_type"" : ""status_up"", ""status_up"" : ""hp"", ""target_field_group"" : $character_target, ""trait_rate"" : ""$val"", ""rate_type"" : ""percentage"":}"
とくせい,このコトダマンが敵からの攻撃を受けた場合、ATKが{$val}上昇する(上限{$val2}回),"{""trait_type"" : ""status_up"", ""status_up"" : ""atk"", ""trait_rate"" : ""$val"", ""rate_type"" : ""fixed"", ""condition_type_loop"" : [{""condition_type"" : ""attacked""}], ""attack_limit_count"" : ""$val2""}"
とくせい,このコトダマンが敵からの攻撃を受けた場合、HPが{$val}上昇する(上限{$val2}回),"{""trait_type"" : ""status_up"", ""status_up"" : ""hp"", ""trait_rate"" : ""$val"", ""rate_type"" : ""fixed"", ""condition_type_loop"" : [{""condition_type"" : ""attacked""}], ""attack_limit_count"" : ""$val2""}"
とくせい,自身のすごわざ発動条件に「{$sugowaza_condition}」を追加する,"{""trait_type"" : ""sugowaza_condition"",""sugowaza_condition"" : ""$sugowaza_condition""}"
とくせい,HPを{$val}UP,"{""trait_type"" : ""status_up"", ""status_up"" : ""hp"", ""trait_rate"" : ""$val"", ""rate_type"" : ""fixed""}"
とくせい,ATKの基礎値を{$val}UP,"{""trait_type"" : ""status_up"", ""status_up"" : ""atk"", ""trait_rate"" : ""$val"", ""rate_type"" : ""fixed"",""target_field_group"" : {""target_type"" : ""self""}}"
とくせい,デッキの{$character_target}1枚につきATKを{$val}UP,"{""trait_type"" : ""status_up"", ""status_up"" : ""atk"", ""per_unit_tf"" : ""true"",""deck_ally_field_group"" : [$character_target], ""trait_rate"" : ""$val"", ""rate_type"" : ""fixed""}"
とくせい,デッキの{$character_target}1枚につきHPを{$val}UP,"{""trait_type"" : ""status_up"", ""status_up"" : ""hp"", ""per_unit_tf"" : ""true"",""deck_ally_field_group"" : [$character_target], ""trait_rate"" : ""$val"", ""rate_type"" : ""fixed""}"
とくせい,{$attr}からのダメージを{$val}%軽減,"{""trait_type"" : ""status_up"", ""status_up"" : ""mitigation"", ""target_field_group"" : {""target_type"" : ""attr"", ""target_attr"" : ""$attr""}, ""trait_rate"" : ""$val"", ""rate_type"" : ""percentage""}"
とくせい,自身の{$status}耐性{$val}%,"{""trait_type"" : ""status_up"", ""status_up"" : ""resistance"",""resistance"" : ""$status"",""trait_rate"" : ""$val"", ""rate_type"" : ""percentage""}"
とくせい,デッキ内の「{$affiliation}」のATK{$val}%UP・{$resistance}耐性{$val2}%,"{""trait_type"" : ""status_up"", ""status_up"" : ""atk"", ""target_field_group"" : {""target_type"" : ""group"", ""target_group"" : ""$affiliation""}, ""trait_rate"" : ""$val"", ""rate_type"" : ""percentage""}|{""trait_type"" : ""status_up"", ""status_up"" : ""resistance"", ""resistance"" : ""$resistance"", ""trait_rate"" : ""$val2"", ""rate_type"" : ""percentage"", ""target_field_group"" : {""target_type"" : ""group"", ""target_group"" : ""$affiliation""}}"
とくせい,デッキ内の「{$affiliation}」のクリティカル発生率が{$val}%UP・{$resistance}耐性{$val2}%,"{""trait_type"" : ""status_up"", ""status_up"" : ""critical_rate"", ""target_field_group"" : {""target_type"" : ""group"", ""target_group"" : ""$affiliation""}, ""trait_rate"" : ""$val"", ""rate_type"" : ""percentage""}|{""trait_type"" : ""status_up"", ""status_up"" : ""resistance"", ""resistance"" : ""$resistance"", ""trait_rate"" : ""$val2"", ""rate_type"" : ""percentage"", ""target_field_group"" : {""target_type"" : ""group"", ""target_group"" : ""$affiliation""}}"
とくせい,デッキ内の「{$affiliation}」の{$resistance}耐性{$val}%,"{""trait_type"" : ""status_up"", ""status_up"" : ""resistance"", ""resistance"" : ""$resistance"", ""trait_rate"" : ""$val"", ""rate_type"" : ""percentage"", ""target_field_group"" : {""target_type"" : ""group"", ""target_group"" : ""$affiliation""}}"
とくせい,{$val}%の確率で敵からの攻撃を回避する,"{""trait_type"" : ""status_up"", ""status_up"" : ""dodge"", ""trait_rate"" : ""$val"", ""rate_type"" : ""percentage""}"
とくせい,自身のクリティカル発生率が{$val}%UP,"{""trait_type"" : ""status_up"", ""status_up"" : ""critical_rate"", ""trait_rate"" : ""$val"", ""rate_type"" : ""percentage""}"
とくせい,自身のクリティカル時の威力が{$val}%UP,"{""trait_type"" : ""status_up"", ""status_up"" : ""critical_damage"", ""trait_rate"" : ""$val"", ""rate_type"" : ""percentage""}"
とくせい,自身の回復効果を{$val}%UP,"{""trait_type"" : ""status_up"", ""status_up"" : ""healing_effect"", ""trait_rate"" : ""$val"", ""rate_type"" : ""percentage""}"
とくせい,デッキ内の{$whose_trait}のコトダマンのドロー時に{$character_target}のATKを{$prefix}を{$val}ターン付与,"{""trait_type"" : ""draw_eff"", ""draw_eff"" : ""atk_buff"", ""target_field_group"" : $character_target, ""whose_trait"" : $whose_trait, ""trait_rate"" : ""1"", ""rate_type"" : ""fixed"", ""draw_trait_turn"" : ""$val""}"
とくせい,ドロー時に{$character_target}のATKを{$prefix}を{$val}ターン付与,"{""trait_type"" : ""draw_eff"", ""draw_eff"" : ""atk_buff"", ""target_field_group"" :[$character_target], ""trait_rate"" : ""$prefix"", ""rate_type"" : ""fixed"", ""draw_trait_turn"" : ""$val""}"
とくせい,ドロー時{$character_target}にダメージ軽減{$prefix}を{$val}ターン付与,"{""trait_type"" : ""draw_eff"", ""draw_eff"" : ""deff_buff"", ""target_field_group"" :[$character_target], ""trait_rate"" : ""$prefix"", ""rate_type"" : ""fixed"", ""draw_trait_turn"" : ""$val""}"
とくせい,ドロー時にHPを{$val}%回復,"{""trait_type"" : ""draw_eff"", ""draw_eff"" : ""healling"", ""trait_rate"" : ""$val"", ""rate_type"" : ""percentage""}"
とくせい,ドロー時に{$character_target}の「$resistance」状態異常を回復,"{""trait_type"" : ""draw_eff"", ""draw_eff"" : ""status_healing"", ""target_field_group"" :[$character_target], ""resistance"" : ""$resistance""}"
とくせい,実体化時に{$character_target}のATKを{$prefix},"{""trait_type"" : ""on_play_eff"", ""on_play_eff"" : ""atk_buff"", ""target_field_group"" :[$character_target], ""trait_rate"" : ""$prefix"", ""rate_type"" : ""fixed""}"
とくせい,実体化時に最大HPの{$val}%のダメージを受け、{$character_target}のATKを{$prefix},"{""trait_type"" : ""on_play_eff"", ""on_play_eff"" : ""self_harm"", ""target_field_group"" :[$character_target], ""trait_rate"" : ""$val"", ""rate_type"" : ""percentage"", ""atk_prefix"" : ""$prefix""}|{""trait_type"" : ""on_play_eff"", ""on_play_eff"" : ""atk_buff"", ""trait_rate"" : ""$prefix"", ""rate_type"" : ""fixed"", ""target_field_group"" :[$character_target]}"
とくせい,このコトダマンを含むことばで{$val}コンボ達成した場合、敵ターン終了時、HPを{$prefix},"{""trait_type"" : ""core_gimmick"", ""core_gimmick"" : ""healing_core"", ""trait_rate"" : ""$prefix"", ""rate_type"" : ""fixed"",""need_combo"" : ""$val""}"
とくせい,このコトダマンを含むことばで{$val}コンボ達成した場合、敵ターン終了時、敵全体に{$prefix}ダメージを与える,"{""trait_type"" : ""core_gimmick"", ""core_gimmick"" : ""attack_core"", ""trait_rate"" : ""$prefix"", ""rate_type"" : ""fixed"",""need_combo"" : ""$val""}"
とくせい,このコトダマンを含むことばで{$val}コンボ達成した場合、このターン攻撃する味方の行動前、自身にATKを{$prefix}を与える,"{""trait_type"" : ""core_gimmick"", ""core_gimmick"" : ""attack_buff_core"", ""trait_rate"" : ""$prefix"", ""rate_type"" : ""fixed"",""need_combo"" : ""$val""}"
とくせい,このコトダマンを含むことばで【{$pipe_separated_val}】コンボ達成した場合、このターン攻撃する味方の行動前、自身にATKを【少し強化|強化|大きく強化|超大きく強化】を与える,"{""trait_type"" : ""core_gimmick"", ""core_gimmick"" : ""super_attack_core"",""need_combos"" : ""$pipe_separated_val""}"
とくせい,敵ターン終了時、自身が敵から受けた合計ダメージの{$val}倍の無属性ダメージを敵全体に与える,"{""trait_type"" : ""after_attack"", ""after_attack"" : ""reflection"", ""trait_rate"" : ""$val"", ""rate_type"" : ""fixed""}"
とくせい,攻撃を受けた場合に、{$val}%の確率で{$waza}で反撃する,"{""trait_type"" : ""after_attack"", ""after_attack"" : ""$waza"", ""trait_rate"" : ""$val"", ""rate_type"" : ""percentage""}"
とくせい,自身がわざ・すごわざ・コトわざでダメージを与えた時、腐敗{$val}%を{$val2}ターン付与,"{""trait_type"" : ""after_attack"", ""after_attack"" : ""corruption"", ""trait_rate"" : ""$val"", ""rate_type"" : ""percentage"", ""draw_trait_turn"" : ""$val2""}"
とくせい,自身が手札に残っている時({$val}ターン継続)、ことば読み上げ完了後にこのターン攻撃する{$character_target}のATKを{$prefix},"{""trait_type"" : ""new_traits"", ""new_traits"" : ""support"", ""target_field_group"" :[$character_target], ""trait_rate"" : ""$prefix"", ""rate_type"" : ""fixed""}"
とくせい,自身が手札に残っている時({$val}ターン継続)、ことば読み上げ完了後に敵全体に被ダメージ{$prefix}状態を{$val}ターン付与,"{""trait_type"" : ""new_traits"", ""new_traits"" : ""poke"", ""trait_rate"" : ""$prefix"", ""rate_type"" : ""fixed"", ""draw_trait_turn"" : ""$val""}"
とくせい,自身が実体化時に、敵全体に被ダメージ{$prefix}状態を{$val}ターン付与し、このターン敵全体が受けるダメージの上限を{$val2}増加,"{""trait_type"" : ""new_traits"", ""new_traits"" : ""see_through"", ""trait_rate"" : ""$prefix"", ""rate_type"" : ""fixed"", ""limit_break_rate"" : ""$val2"", ""draw_trait_turn"" : ""$val""}"
とくせい,「{$name}」を所持しているコトダマンが、ドロー候補または準備状態にあり、実体化した「{$affiliation}」のコトダマンがすごわざを発動させたとき、ドロー候補または準備状態の「{$name}」を所持しているコトダマンのわざが1ターンに1回まで発動する,"{""trait_type"" : ""new_traits"", ""new_traits"" : ""assistance"", ""target_field_group"" : [{""field_group_type"" : ""affiliation"", ""target_group"" : ""$affiliation""}]}"
とくせい,自身が実体化した文字と同じ文字のコトダマンが実体化している場合、言葉読み上げ完了時にこのターン攻撃する自身と、自身と同じ文字のコトダマンの威力が{$val}%UP・1回の攻撃で与えることができるダメージの上限を{$val2}増加,"{""trait_type"" : ""new_traits"", ""new_traits"" : ""resonance"", ""trait_rate"" : ""$val"", ""rate_type"" : ""percentage"", ""limit_break_rate"" : ""$val2""}"
とくせい,自身が実体化した文字と同じ文字のコトダマンが実体化している場合、言葉読み上げ完了時にこのターン攻撃する自身と、自身と同じ文字のコトダマンのクリティカル発生率が{$val}%UP・クリティカル時の威力が{$val2}%UP,"{""trait_type"" : ""new_traits"", ""new_traits"" : ""resonance"", ""resonance_crit_rate"" : ""$val"", ""resonance_crit_damage"" : ""$val2""}"
とくせい,詳細画面で「{$name}」に切り替えてデッキに編成できる,"{""trait_type"" : ""mode_shift"", ""relation_ship"" : ""mode_shift""}"
とくせい,自身がすごわざを発動時、「{$name}」に変身する,"{""trait_type"" : ""mode_shift"", ""relation_ship"" : ""before_transform""}"
とくせい,実体化時に、ことばの判定でコンボの数を+{$val}する,"{""trait_type"" : ""other_traits"", ""other_traits"" : ""combo_plus"", ""trait_rate"" : ""$val"", ""rate_type"" : ""fixed""}"
とくせい,バリアを使用している敵に{$val}%のダメージを与える,"{""trait_type"" : ""other_traits"",""other_traits"" : ""penetration"",""trait_rate"" : ""$val"", ""rate_type"" : ""percentage""}"
とくせい,自身のわざ・すごわざによってHPの上限値を超えて回復した場合、その超えた数値分的に固定値ダメージを与える,"{""trait_type"" : ""other_traits"",""other_traits"" : ""over_healing""}"
とくせい,獲得プレイヤー経験値{$val}%UP,"{""trait_type"" : ""other_traits"",""other_traits"" : ""exp_up"", ""trait_rate"" : ""$val"", ""rate_type"" : ""percentage""}"
とくせい条件,デッキ内に自身以外の「{$affiliation}」がいる場合、,"{""condition_type"" : ""group"", ""condition_group"" : ""$affiliation""}"
とくせい条件,自身の文字が「{$dot_camma_val}」の時、,"{""condition_type"" : ""char"",""condition_value"" : ""$dot_camma_val""}"
とくせい条件,{$val}テーマの言葉を作成した時、,"{""condition_type"" : ""theme"",""condition_value"" : ""$val""}"
とくせい条件,{$val}文字以上の言葉を作成した時、,"{""condition_type"" : ""moji_count"",""condition_value"" : ""$val""}"
とくせい条件,{$val}コンボ以上で,"{""condition_type"" : ""comb"",""condition_value"" : ""$val""}"
とくせい条件,大討伐の場合、,"{""condition_type"" : ""raid_battle""}"
とくせい条件,HPが{$val}%以下の時、,"{""condition_type"" : ""hpcond"", ""condition_value"" : ""$val"", ""hp_cond_detail"" : ""less""}"
とくせい条件,HPが{$val}%以上の時、,"{""condition_type"" : ""hpcond"", ""condition_value"" : ""$val"", ""hp_cond_detail"" : ""more""}"
とくせい条件,HPがMAX時、,"{""condition_type"" : ""hpcond"", ""condition_value"" : ""100"", ""hp_cond_detail"" : ""more""}"
わざ,敵単体に自身の福に応じて威力が強化される全属性有利となる{$attr}属性攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""fuku""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""6"",""waza_target"" : ""single_oppo"",""omni_advantage"" : ""true""}"
わざ,敵単体に自身の福に応じて威力が強化される{$attr}属性攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""fuku""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""6"",""waza_target"" : ""single_oppo""}"
わざ,敵単体に{$species}種族に対して威力が{$at_target_up}する{$at_prefix_slash}な全属性有利となる{$attr}属性攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""target""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""$at_prefix"", ""advantage_target"":{""target_type"" : ""species"",""target_species"" : ""$species""}, ""advantage_rate"" : ""$at_target_up"",""waza_target"" : ""single_oppo"",""omni_advantage"" : ""true""}"
わざ,敵単体に{$species}種族に対して威力が{$at_target_up}する{$at_prefix_slash}な{$attr}属性攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""target""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""$at_prefix"", ""advantage_target"":{""target_type"" : ""species"",""target_species"" : ""$species""}, ""advantage_rate"" : ""$at_target_up"",""waza_target"" : ""single_oppo""}"
わざ,敵単体に文字数に応じて威力が上昇する全属性有利となる{$attr}属性攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""moji""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""14"",""waza_target"" : ""single_oppo"",""omni_advantage"" : ""true""}"
わざ,敵単体に文字数に応じて威力が上昇する{$attr}属性攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""moji""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""14"",""waza_target"" : ""single_oppo""}"
わざ,敵単体に{$at_prefix_slash}な全属性有利となる{$attr}属性攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""$at_prefix_slash"",""waza_target"" : ""single_oppo"",""omni_advantage"" : ""true""}"
わざ,敵単体に{$at_prefix_slash}な{$attr}属性攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""$at_prefix_slash"",""waza_target"" : ""single_oppo""}"
わざ,敵単体に爆絶強力な全属性有利となる{$attr}属性の10回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""1.3"", ""hit_count"" : ""10"",""waza_target"" : ""single_oppo"",""omni_advantage"" : ""true""}"
わざ,敵単体に爆絶強力な{$attr}属性の10回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""1.3"", ""hit_count"" : ""10"",""waza_target"" : ""single_oppo""}"
わざ,敵単体に自身の福に応じて威力が強化される全属性有利となる{$attr}属性の10回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""fuku""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""1.3"", ""hit_count"" : ""10"",""waza_target"" : ""single_oppo"",""omni_advantage"" : ""true""}"
わざ,敵単体に自身の福に応じて威力が強化される{$attr}属性の10回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""fuku""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""1.3"", ""hit_count"" : ""10"",""waza_target"" : ""single_oppo""}"
わざ,敵単体に超絶強力な全属性有利となる{$attr}属性の8回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""0.75"",""waza_value_last"" : ""2.35"", ""hit_count"" : ""8"",""waza_target"" : ""single_oppo"",""omni_advantage"" : ""true""}"
わざ,敵単体に超絶強力な{$attr}属性の8回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""0.75"",""waza_value_last"" : ""2.35"", ""hit_count"" : ""8"",""waza_target"" : ""single_oppo""}"
わざ,敵単体に敵単体に自身の福に応じて威力が強化される全属性有利となる{$attr}属性の8回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""fuku""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""0.75"",""waza_value_last"" : ""2.35"", ""hit_count"" : ""8"",""waza_target"" : ""single_oppo"",""omni_advantage"" : ""true""}"
わざ,敵単体に敵単体に自身の福に応じて威力が強化される{$attr}属性の8回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""fuku""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""0.75"",""waza_value_last"" : ""2.35"", ""hit_count"" : ""8"",""waza_target"" : ""single_oppo""}"
わざ,敵単体に超強力な全属性有利となる{$attr}属性の6回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""0.7"",""waza_value_last"" : ""1.9"", ""hit_count"" : ""6"",""waza_target"" : ""single_oppo"",""omni_advantage"" : ""true""}"
わざ,敵単体に超強力な{$attr}属性の6回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""0.7"",""waza_value_last"" : ""1.9"", ""hit_count"" : ""6"",""waza_target"" : ""single_oppo""}"
わざ,敵単体に敵単体に自身の福に応じて威力が強化される全属性有利となる{$attr}属性の6回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""fuku""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""0.7"",""waza_value_last"" : ""1.9"", ""hit_count"" : ""6"",""waza_target"" : ""single_oppo"",""omni_advantage"" : ""true""}"
わざ,敵単体に敵単体に自身の福に応じて威力が強化される{$attr}属性の6回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""fuku""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""0.7"",""waza_value_last"" : ""1.9"", ""hit_count"" : ""6"",""waza_target"" : ""single_oppo""}"
わざ,敵単体に強力な全属性有利となる{$attr}属性の4回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""0.65"",""waza_value_last"" : ""1.05"", ""hit_count"" : ""8"",""waza_target"" : ""single_oppo"",""omni_advantage"" : ""true""}"
わざ,敵単体に強力な{$attr}属性の4回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""0.65"",""waza_value_last"" : ""1.05"", ""hit_count"" : ""8"",""waza_target"" : ""single_oppo""}"
わざ,敵単体に敵単体に自身の福に応じて威力が強化される全属性有利となる{$attr}属性の4回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""fuku""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""0.65"",""waza_value_last"" : ""1.05"", ""hit_count"" : ""8"",""waza_target"" : ""single_oppo"",""omni_advantage"" : ""true""}"
わざ,敵単体に敵単体に自身の福に応じて威力が強化される{$attr}属性の4回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""fuku""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""0.65"",""waza_value_last"" : ""1.05"", ""hit_count"" : ""8"",""waza_target"" : ""single_oppo""}"
わざ,敵単体に超絶強力な全属性有利となる{$attr}属性の5回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""1.2"",""waza_value_last"" : ""2.2"", ""hit_count"" : ""5"",""waza_target"" : ""single_oppo"",""omni_advantage"" : ""true""}"
わざ,敵単体に超絶強力な{$attr}属性の5回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""1.2"",""waza_value_last"" : ""2.2"", ""hit_count"" : ""5"",""waza_target"" : ""single_oppo""}"
わざ,敵単体に敵単体に自身の福に応じて威力が強化される全属性有利となる{$attr}属性の5回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""fuku""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""1.2"",""waza_value_last"" : ""2.2"", ""hit_count"" : ""5"",""waza_target"" : ""single_oppo"",""omni_advantage"" : ""true""}"
